iter	PRAUC	Logloss
0	1	0.6307131775
1	1	0.5846991862
2	1	0.5429414787
3	1	0.4926891741
4	1	0.4605568739
5	1	0.4415664456
6	1	0.3973786954
7	1	0.3748817425
8	1	0.3534253949
9	1	0.3332821504
10	1	0.317453522
11	1	0.3044251044
12	1	0.2884595194
13	1	0.2702473361
14	1	0.2668171268
15	1	0.2625894192
16	1	0.239718979
17	1	0.2352178028
18	1	0.2291579682
19	1	0.2252272305
20	1	0.2134963252
21	1	0.2015149094
22	1	0.1939860719
23	1	0.1846458929
24	1	0.1801676669
25	1	0.1734068312
26	1	0.1645346841
27	1	0.1574059451
28	1	0.1525390264
29	1	0.1472174815
30	1	0.1407756231
31	1	0.1392732412
32	1	0.1341755512
33	1	0.1326717942
34	1	0.1269242587
35	1	0.1236376864
36	1	0.1217821685
37	1	0.1178511282
38	1	0.1127671794
39	1	0.109471889
40	1	0.1081048816
41	1	0.1049125862
42	1	0.1013120745
43	1	0.0965450319
44	1	0.09456770159
45	1	0.09151814937
46	1	0.0892724241
47	1	0.0853876783
48	1	0.08345494583
49	1	0.08153838871
50	1	0.07768188159
51	1	0.07632921499
52	1	0.07378009076
53	1	0.0723810747
54	1	0.07069046498
55	1	0.06938509127
56	1	0.06798408567
57	1	0.06627579752
58	1	0.06498074879
59	1	0.06332872252
60	1	0.0609297328
61	1	0.05941845971
62	1	0.05861802298
63	1	0.05677030018
64	1	0.05591605423
65	1	0.05516888877
66	1	0.05405837791
67	1	0.05285584586
68	1	0.05167760005
69	1	0.05044257404
70	1	0.04973777576
71	1	0.04840003269
72	1	0.04751788542
73	1	0.04611441441
74	1	0.04505309167
75	1	0.0437043444
76	1	0.04306826263
77	1	0.04253273332
78	1	0.04199716305
79	1	0.04139990202
80	1	0.04073864201
81	1	0.03982792258
82	1	0.03896265857
83	1	0.03842267767
84	1	0.03787002161
85	1	0.03734723359
86	1	0.03698277356
87	1	0.03652537139
88	1	0.03610158423
89	1	0.03541186593
90	1	0.0350940327
91	1	0.03478449474
92	1	0.03442237213
93	1	0.03412077101
94	1	0.0337209775
95	1	0.03343179926
96	1	0.0328306698
97	1	0.03235844756
98	1	0.03211535841
99	1	0.03181299816
100	1	0.03145301859
101	1	0.03103665689
102	1	0.03060007773
103	1	0.0302641773
104	1	0.0298489111
105	1	0.02955160842
106	1	0.02930180693
107	1	0.02901264968
108	1	0.02870461261
109	1	0.02833516713
110	1	0.02802926762
111	1	0.02782282516
112	1	0.02708074251
113	1	0.02674229019
114	1	0.0264680256
115	1	0.0260902173
116	1	0.02580078836
117	1	0.02558729353
118	1	0.02507258966
119	1	0.02469725783
120	1	0.02409319081
121	1	0.02383225957
122	1	0.02357493681
123	1	0.02332451119
124	1	0.02310700529
125	1	0.02295805611
126	1	0.02275258023
127	1	0.02252482052
128	1	0.02229534491
129	1	0.02189371419
130	1	0.02167758977
131	1	0.02119585115
132	1	0.02104932811
133	1	0.02084856701
134	1	0.02062160121
135	1	0.02042764331
136	1	0.02023682798
137	1	0.02004518432
138	1	0.01986227165
139	1	0.01968256666
140	1	0.01950598711
141	1	0.01933130817
142	1	0.01916763197
143	1	0.01886292344
144	1	0.01870146089
145	1	0.01854036293
146	1	0.01838294396
147	1	0.01822642159
148	1	0.017948797
149	1	0.01780089581
150	1	0.01765376026
151	1	0.01751051084
152	1	0.01736851884
153	1	0.01722969528
154	1	0.01709301384
155	1	0.01695842605
156	1	0.01682683892
157	1	0.01669627108
158	1	0.01656766076
159	1	0.01644096488
160	1	0.01631614163
161	1	0.01619315038
162	1	0.01607195168
163	1	0.01595250716
164	1	0.01583477955
165	1	0.01571873261
166	1	0.01560433111
167	1	0.01549154079
168	1	0.01538032831
169	1	0.01527066125
170	1	0.01516250806
171	1	0.01505583803
172	1	0.01495062128
173	1	0.01484682871
174	1	0.01474443198
175	1	0.01464340351
176	1	0.01454371641
177	1	0.01444534451
178	1	0.01434826229
179	1	0.01425244488
180	1	0.01415786807
181	1	0.01406450821
182	1	0.01397234228
183	1	0.01388134782
184	1	0.01379150293
185	1	0.01370278624
186	1	0.01361517689
187	1	0.01352865456
188	1	0.0134431994
189	1	0.01335879203
190	1	0.01327541355
191	1	0.01319304549
192	1	0.01311166983
193	1	0.01303126896
194	1	0.0129518257
195	1	0.01287332325
196	1	0.01279574519
197	1	0.01271907551
198	1	0.01264329854
199	1	0.01256839897
200	1	0.01249436183
201	1	0.01242117249
202	1	0.01234881666
203	1	0.01227728034
204	1	0.01220654986
205	1	0.01213661185
206	1	0.01206745323
207	1	0.01199906118
208	1	0.01193142319
209	1	0.01186452701
210	1	0.01179836064
211	1	0.01173291234
212	1	0.01166817064
213	1	0.01160412427
214	1	0.01154076224
215	1	0.01147807375
216	1	0.01141604825
217	1	0.01135467541
218	1	0.01129394509
219	1	0.01123384737
220	1	0.01117437253
221	1	0.01111551106
222	1	0.01105725362
223	1	0.01099959106
224	1	0.01094251442
225	1	0.01088601493
226	1	0.01083008397
227	1	0.0107747131
228	1	0.01071989404
229	1	0.01066561867
230	1	0.01061187905
231	1	0.01055866736
232	1	0.01050597595
233	1	0.01045379732
234	1	0.01040212409
235	1	0.01035094903
236	1	0.01030026507
237	1	0.01025006524
238	1	0.01020034272
239	1	0.0101510908
240	1	0.0101023029
241	1	0.01005397258
242	1	0.01000609349
243	1	0.009958659421
244	1	0.009911664251
245	1	0.009865101988
246	1	0.009818966742
247	1	0.009773252729
248	1	0.009727954267
249	1	0.009683065776
250	1	0.009638581776
251	1	0.009594496881
252	1	0.009550805801
253	1	0.009507503339
254	1	0.009464584388
255	1	0.009422043928
256	1	0.009379877027
257	1	0.009338078839
258	1	0.009296644598
259	1	0.009255569621
260	1	0.009214849304
261	1	0.009174479122
262	1	0.009134454624
263	1	0.009094771435
264	1	0.009055425253
265	1	0.009016411847
266	1	0.008977727057
267	1	0.00893936679
268	1	0.008901327021
269	1	0.008863603792
270	1	0.008826193207
271	1	0.008789091437
272	1	0.00875229471
273	1	0.008715799319
274	1	0.008679601615
275	1	0.008643698006
276	1	0.008608084958
277	1	0.008572758995
278	1	0.008537716693
279	1	0.008502954683
280	1	0.008468469649
281	1	0.008434258326
282	1	0.008400317502
283	1	0.008366644012
284	1	0.008333234741
285	1	0.008300086622
286	1	0.008267196635
287	1	0.008234561806
288	1	0.008202179206
289	1	0.008170045951
290	1	0.008138159199
291	1	0.008106516153
292	1	0.008075114056
293	1	0.008043950193
294	1	0.00801302189
295	1	0.007982326511
296	1	0.007951861461
297	1	0.00792162418
298	1	0.007891612149
299	1	0.007861822885
300	1	0.007832253938
301	1	0.007802902899
302	1	0.007773767389
303	1	0.007744845065
304	1	0.007716133618
305	1	0.007687630773
306	1	0.007659334284
307	1	0.007631241941
308	1	0.007603351562
309	1	0.007575660999
310	1	0.00754816813
311	1	0.007520870866
312	1	0.007493767147
313	1	0.007466854939
314	1	0.00744013224
315	1	0.007413597073
316	1	0.007387247489
317	1	0.007361081566
318	1	0.007335097407
319	1	0.007309293143
320	1	0.007283666929
321	1	0.007258216945
322	1	0.007232941396
323	1	0.007207838511
324	1	0.007182906543
325	1	0.007158143767
326	1	0.007133548484
327	1	0.007109119014
328	1	0.007084853701
329	1	0.007060750912
330	1	0.007036809033
331	1	0.007013026472
332	1	0.00698940166
333	1	0.006965933045
334	1	0.006942619097
335	1	0.006919458306
336	1	0.006896449181
337	1	0.00687359025
338	1	0.006850880061
339	1	0.006828317178
340	1	0.006805900186
341	1	0.006783627687
342	1	0.0067614983
343	1	0.006739510663
344	1	0.006717663429
345	1	0.00669595527
346	1	0.006674384874
347	1	0.006652950944
348	1	0.006631652201
349	1	0.006610487381
350	1	0.006589455235
351	1	0.006568554531
352	1	0.006547784051
353	1	0.006527142591
354	1	0.006506628964
355	1	0.006486241997
356	1	0.006465980528
357	1	0.006445843414
358	1	0.006425829522
359	1	0.006405937734
360	1	0.006386166946
361	1	0.006366516066
362	1	0.006346984016
363	1	0.006327569731
364	1	0.006308272156
365	1	0.006289090253
366	1	0.006270022992
367	1	0.006251069357
368	1	0.006232228345
369	1	0.006213498963
370	1	0.006194880229
371	1	0.006176371174
372	1	0.00615797084
373	1	0.00613967828
374	1	0.006121492557
375	1	0.006103412746
376	1	0.006085437932
377	1	0.00606756721
378	1	0.006049799685
379	1	0.006032134475
380	1	0.006014570704
381	1	0.00599710751
382	1	0.005979744036
383	1	0.005962479439
384	1	0.005945312883
385	1	0.005928243542
386	1	0.005911270599
387	1	0.005894393246
388	1	0.005877610685
389	1	0.005860922125
390	1	0.005844326786
391	1	0.005827823895
392	1	0.005811412687
393	1	0.005795092406
394	1	0.005778862305
395	1	0.005762721645
396	1	0.005746669694
397	1	0.005730705728
398	1	0.005714829032
399	1	0.005699038898
400	1	0.005683334624
401	1	0.005667715519
402	1	0.005652180897
403	1	0.005636730079
404	1	0.005621362394
405	1	0.005606077179
406	1	0.005590873734
407	1	0.005575751376
408	1	0.005560709497
409	1	0.005545747429
410	1	0.005530864575
411	1	0.005516060284
412	1	0.005501333967
413	1	0.005486684991
414	1	0.005472112775
415	1	0.005457616703
416	1	0.005443196203
417	1	0.005428850674
418	1	0.005414579551
419	1	0.005400382251
420	1	0.005386258217
421	1	0.005372206879
422	1	0.005358227689
423	1	0.005344320092
424	1	0.005330483548
425	1	0.005316717516
426	1	0.005303021464
427	1	0.005289394864
428	1	0.005275837192
429	1	0.005262347934
430	1	0.005248926573
431	1	0.005235572607
432	1	0.005222285527
433	1	0.005209064844
434	1	0.005195910057
435	1	0.005182820689
436	1	0.005169796244
437	1	0.005156836258
438	1	0.005143940244
439	1	0.005131107748
440	1	0.005118338288
441	1	0.005105631424
442	1	0.005092986681
443	1	0.005080403628
444	1	0.005067881797
445	1	0.005055420768
446	1	0.00504302008
447	1	0.005030679323
448	1	0.005018398042
449	1	0.005006175837
450	1	0.00499401226
451	1	0.004981906922
452	1	0.004969859378
453	1	0.00495786925
454	1	0.0049459361
455	1	0.004934059558
456	1	0.004922239193
457	1	0.004910474643
458	1	0.004898765484
459	1	0.004887111362
460	1	0.004875511858
461	1	0.004863966628
462	1	0.004852475258
463	1	0.004841037413
464	1	0.004829652683
465	1	0.004818320743
466	1	0.004807041188
467	1	0.004795813699
468	1	0.004784637879
469	1	0.004773513415
470	1	0.004762439915
471	1	0.004751417076
472	1	0.004740444508
473	1	0.004729521917
474	1	0.004718648919
475	1	0.004707825225
476	1	0.004697050457
477	1	0.004686324333
478	1	0.00467564648
479	1	0.004665016622
480	1	0.004654434392
481	1	0.00464389952
482	1	0.004633411642
483	1	0.004622970498
484	1	0.004612575727
485	1	0.004602227074
486	1	0.004591924184
487	1	0.004581666808
488	1	0.004571454595
489	1	0.004561287303
490	1	0.004551164583
491	1	0.004541086201
492	1	0.004531051813
493	1	0.004521061188
494	1	0.004511113989
495	1	0.004501209989
496	1	0.004491348854
497	1	0.004481530365
498	1	0.004471754191
499	1	0.004462020118
