ticker,entry_window_date,r_ew_day3_pct,winner_60
EXL1V.HE,2022-08-03,0.0,0
EXL1V.HE,2022-10-20,0.0,1
EXL1V.HE,2023-04-14,-0.858367986492836,0
EXL1V.HE,2023-09-13,-1.42857006617955,0
EXL1V.HE,2025-02-05,-3.08641680056249,1
EXL1V.HE,2025-05-15,-0.257736313975143,0
EXL1V.HE,2025-09-02,-1.00755867941936,0
FORTUM.HE,2020-11-23,5.36913060274684,1
FORTUM.HE,2021-10-21,0.552909245040101,0
FORTUM.HE,2024-04-19,-0.939156697007182,1
FORTUM.HE,2025-05-14,4.18955796083216,1
FORTUM.HE,2025-12-11,-0.303701288360769,1
FSECURE.HE,2024-12-03,-2.01483961009012,0
FSKRS.HE,2020-02-20,-5.90162927952799,0
FSKRS.HE,2023-08-08,-0.124688532554695,1
FSKRS.HE,2023-11-29,0.361007995709173,0
FSKRS.HE,2025-01-28,2.8112427850461,0
GLA1V.HE,2022-06-08,-4.21285967251694,1
GLA1V.HE,2025-08-29,0.73104360421461,0
GLA1V.HE,2025-12-16,-0.79716068589375,0
GOFORE.HE,2021-04-12,9.25926701794024,0
HARVIA.HE,2020-07-13,2.21238383389457,1
HARVIA.HE,2020-10-19,-3.2876691602436,1
HARVIA.HE,2023-09-28,1.15036380145099,1
HARVIA.HE,2024-03-07,2.42030178326476,1
HUH1V.HE,2020-01-24,-0.097267395482914,0
HUH1V.HE,2020-06-09,-4.67642899014761,1
HUH1V.HE,2021-06-24,0.782052284342649,1
HUH1V.HE,2021-11-11,0.154015645892835,0
HUH1V.HE,2022-04-08,-1.35390593530281,1
HUH1V.HE,2022-07-15,-0.132192559254041,0
HUH1V.HE,2023-12-29,1.52090401078917,0
HUH1V.HE,2024-08-21,0.219181630299281,0
HUH1V.HE,2024-12-09,-0.282814316689184,0
ICP1V.HE,2020-12-09,-1.60857754618577,1
ICP1V.HE,2023-04-04,-1.30434660920572,0
ICP1V.HE,2024-12-03,9.1549380231597,1
ICP1V.HE,2025-03-28,-1.65360821730296,0
ILKKA2.HE,2020-07-13,-1.60254295860487,0
ILKKA2.HE,2021-02-18,3.36841636513072,1
ILKKA2.HE,2022-03-28,1.99556045694083,0
ILKKA2.HE,2022-07-08,-2.90826273677426,0
ILKKA2.HE,2023-08-15,-3.69230139918554,0
ILKKA2.HE,2024-04-15,-4.12980204535281,0
ILKKA2.HE,2026-01-16,0.0,0
INVEST.HE,2021-10-28,0.711741326115756,1
INVEST.HE,2024-05-24,0.0,0
INVEST.HE,2024-08-28,0.380228321247911,0
INVEST.HE,2025-05-07,-1.85874297152341,0
INVEST.HE,2025-12-23,1.61290167521737,1
KAMUX.HE,2023-02-02,4.29923427715879,1
KAMUX.HE,2023-06-26,0.833334710157052,1
KAMUX.HE,2023-08-01,1.67285549093703,1
KAMUX.HE,2023-12-07,-0.997272016922812,0
KAMUX.HE,2025-05-06,-2.16449975534757,0
KAMUX.HE,2025-06-16,-3.00601969382379,1
KCR.HE,2020-12-08,-5.96392745800262,1
KCR.HE,2021-04-15,1.22394885267014,0
KCR.HE,2022-11-29,3.6200754833225,1
KCR.HE,2023-04-26,10.4009679103617,1
KCR.HE,2024-01-26,-0.772111242679552,1
KCR.HE,2024-07-15,-0.452488783789018,1
KELAS.HE,2020-08-20,0.0,0
KELAS.HE,2023-01-26,-4.0449315331998,0
KELAS.HE,2024-03-25,5.76440323240404,0
KELAS.HE,2024-04-26,-5.31400476537711,0
KELAS.HE,2025-05-19,-3.86473073845608,0
KEMIRA.HE,2020-12-07,0.396209478114429,1
KEMIRA.HE,2021-01-11,6.8199254174597,0
KEMIRA.HE,2021-08-06,-0.347218620401257,0
KEMIRA.HE,2023-11-27,1.0478068108416,1
KEMIRA.HE,2024-03-13,0.531602936693631,1
KEMIRA.HE,2024-10-11,-3.94618965001754,0
KEMIRA.HE,2025-08-18,2.58665555894437,0
KESKOA.HE,2021-04-29,-3.12499845845591,1
KESKOA.HE,2022-07-18,0.684942055852233,0
KESKOA.HE,2023-04-12,0.302419889034322,0
KESKOA.HE,2023-12-14,-0.563680513427334,0
KESKOA.HE,2024-08-28,0.657177322504654,0
KESKOA.HE,2024-10-04,-0.746257817193174,0
KESKOB.HE,2020-07-07,5.83707675361154,1
KESKOB.HE,2021-01-22,0.365932174078387,1
KESKOB.HE,2022-01-03,-1.95474841679447,0
KESKOB.HE,2024-02-29,-4.27400509361888,0
KESKOB.HE,2025-05-14,2.07099483820401,0
KNEBV.HE,2020-10-20,-4.56367753351344,0
KNEBV.HE,2022-06-10,-2.92508388858993,0
KNEBV.HE,2023-04-25,5.40265469877834,0
KNEBV.HE,2025-05-15,1.50699699909123,1
KNEBV.HE,2025-06-17,-1.64110232091592,1
KOJAMO.HE,2020-04-23,-0.960386658312939,1
KOJAMO.HE,2022-02-15,0.197425589364686,1
KOJAMO.HE,2023-04-27,-3.03300759528001,0
KOSKI.HE,2023-05-11,-0.160256837666828,0
