area,code,count,detail,issue_id,sample,severity
canonical,PUBLISH_DATE_ANOMALY,111,"Publish date before period end, in future, or market date before publish date",P7-PUBLISH_DATE_ANOMALY-001,"[{""fiscal_quarter"": ""Q3"", ""fiscal_year"": 2019, ""market_availability_date"": null, ""period_end_date"": ""2019-09-30"", ""publish_date"": ""2019-08-18"", ""quarter_id"": 17723, ""ticker"": ""ABVC""}, {""fiscal_quarter"": ""Q4"", ""fiscal_year"": 2026, ""market_availability_date"": null, ""period_end_date"": ""2026-05-31"", ""publish_date"": ""2025-07-08"", ""quarter_id"": 311, ""ticker"": ""AEHR""}, {""fiscal_quarter"": ""Q4"", ""fiscal_year"": 2025, ""market_availability_date"": null, ""period_end_date"": ""2025-12-31"", ""publish_date"": ""2025-03-12"", ""quarter_id"": 357, ""ticker"": ""AEYE""}, {""fiscal_quarter"": ""Q4"", ""fiscal_year"": 2024, ""market_availability_date"": null, ""period_end_date"": ""2024-12-31"", ""publish_date"": ""2024-09-30"", ""quarter_id"": 783, ""ticker"": ""AMST""}, {""fiscal_quarter"": ""Q4"", ""fiscal_year"": 2025, ""market_availability_date"": null, ""period_end_date"": ""2025-12-31"", ""publish_date"": ""2025-02-25"", ""quarter_id"": 890, ""ticker"": ""APA""}]",HIGH
field_quality,SEMANTIC_FIELD_OUTLIER,237,Negative revenue/cash/debt or non-positive shares rows,P7-SEMANTIC_FIELD_OUTLIER-001,"[{""cash"": 5828548.0, ""fiscal_quarter"": ""Q4"", ""fiscal_year"": 2021, ""period_end_date"": ""2021-12-31"", ""revenue"": -37793.0, ""shares_outstanding"": 25053522.0, ""ticker"": ""ABVC"", ""total_debt"": 1640000.0}, {""cash"": 681480.0, ""fiscal_quarter"": ""Q4"", ""fiscal_year"": 2025, ""period_end_date"": ""2025-12-31"", ""revenue"": -795950.0, ""shares_outstanding"": 24322552.0, ""ticker"": ""ABVC"", ""total_debt"": 3472826.0}, {""cash"": 89985000.0, ""fiscal_quarter"": ""Q2"", ""fiscal_year"": 2025, ""period_end_date"": ""2025-06-30"", ""revenue"": -20435000.0, ""shares_outstanding"": 55005353.0, ""ticker"": ""ACRE"", ""total_debt"": 888209000.0}, {""cash"": 45120389.0, ""fiscal_quarter"": ""Q3"", ""fiscal_year"": 2025, ""period_end_date"": ""2025-09-30"", ""revenue"": -3896617.0, ""shares_outstanding"": 22594541.0, ""ticker"": ""AFCG"", ""total_debt"": 111057895.0}, {""cash"": 656000000.0, ""fiscal_quarter"": ""Q2"", ""fiscal_year"": 2025, ""period_end_date"": ""2025-06-30"", ""revenue"": -112000000.0, ""shares_outstanding"": 1041700000.0, ""ticker"": ""AGNC"", ""total_debt"": 60000000.0}]",MEDIUM
