cash,fiscal_quarter,fiscal_year,period_end_date,revenue,shares_outstanding,ticker,total_debt
249108000.0,Q4,2024,2024-12-31,-18000.0,55244211.0,FDMT,24606000.0
19741.0,Q4,2018,2018-12-31,-770241.0,21966612.0,FTFT,32450867.0
19016198.0,Q4,2024,2024-12-31,-9125998.0,32246443.0,FTFT,925047.0
726737.0,Q4,2018,2018-12-31,-18446550.0,,GDC,508832.0
1939520.0,Q2,2020,2020-06-30,-5118918.0,,GDC,437884.0
1463402.0,Q3,2020,2020-09-30,-45759.0,,GDC,455206.0
40833000.0,Q4,2021,2021-12-31,-26000.0,195794606.0,GEVO,66962000.0
4485000.0,Q3,2021,2021-09-30,-242528000.0,20598000.0,GPOR,749502000.0
5898000.0,Q1,2022,2022-03-31,-307816000.0,21242000.0,GPOR,573996000.0
14477000.0,Q4,2025,2025-12-31,-1588000.0,22377003.0,GWH,11888000.0
124105000.0,Q4,2025,2025-12-31,-53021000.0,111186000.0,HLIT,133181000.0
1446443000.0,Q4,2023,2023-12-31,-387798000.0,86464000.0,IAC,2023154000.0
34915000.0,Q4,2020,2020-12-31,-147000.0,377067527.0,IBRX,254353000.0
2381000000.0,Q1,2020,2020-03-31,-60000000.0,,IEP,2938000000.0
2294000.0,Q4,2025,2025-12-31,-3054000.0,17528852.0,ILLR,159819000.0
,Q2,2020,2019-12-31,-798.0,,INBS,
,Q3,2020,2020-03-31,-1533.0,,INBS,
1102000000.0,Q4,2021,2021-12-31,,,INDV,-242000000.0
59396000.0,Q2,2025,2025-06-30,-18455000.0,66307379.0,IVR,
52598000.0,Q1,2026,2026-03-31,-15013000.0,87485972.0,IVR,
,Q1,2021,2021-03-31,,0.0,IVVD,
1140479000.0,Q4,2022,2022-09-30,-1258703000.0,129445000.0,J,3407671000.0
770853000.0,Q4,2023,2023-09-29,-1212282000.0,127214000.0,J,2865244000.0
24188000.0,Q4,2020,2020-12-31,35752000.0,0.0,KNTK,
51306000.0,Q1,2021,2021-03-31,148103000.0,0.0,KNTK,
75092000.0,Q2,2021,2021-06-30,135766000.0,0.0,KNTK,
108988000.0,Q3,2021,2021-09-30,166586000.0,0.0,KNTK,
18729000.0,Q4,2021,2021-12-31,211589000.0,0.0,KNTK,
5710685.0,Q4,2023,2023-12-30,-20801.0,108976245.0,KOPN,
173178000.0,Q1,2022,2022-03-31,-75783000.0,69402626.0,KREF,5445010000.0
239791000.0,Q4,2022,2022-12-31,-278472000.0,67553578.0,KREF,6164348000.0
83058000.0,Q2,2026,2026-06-30,-28198000.0,64300417.0,KREF,4615964000.0
1415900000.0,Q4,2023,2023-12-31,-1455100000.0,425679037.0,LBTYA,15707900000.0
1415900000.0,Q4,2023,2023-12-31,-1455100000.0,425679037.0,LBTYK,15707900000.0
80897000.0,Q2,2020,2020-06-30,-268000.0,49741635.0,LIND,401283000.0
6561840.0,Q3,2022,2022-09-30,-643957.0,1664659.0,LIXT,
163000000.0,Q4,2023,2023-12-31,-223700000.0,,MASI,871700000.0
123600000.0,Q4,2024,2024-12-31,-98500000.0,53540566.0,MASI,714300000.0
,Q2,2020,2020-06-30,123616000.0,0.0,MAX,
