date,total_put_call_ratio,index_put_call_ratio,equity_put_call_ratio,status,fetched_at_utc
2025-07-01,0.86,1.08,0.51,ok,2026-03-13T05:56:23Z
2025-07-02,0.83,0.98,0.55,ok,2026-03-13T05:56:23Z
2025-07-03,0.79,1.01,0.48,ok,2026-03-13T05:56:23Z
2025-07-07,0.92,1.14,0.58,ok,2026-03-13T05:56:23Z
2025-07-08,0.87,1.07,0.56,ok,2026-03-13T05:56:23Z
2025-07-09,0.89,1.10,0.56,ok,2026-03-13T05:56:23Z
2025-07-10,0.77,0.98,0.52,ok,2026-03-13T05:56:23Z
2025-07-11,0.84,1.16,0.53,ok,2026-03-13T05:56:23Z
2025-07-14,0.85,1.15,0.51,ok,2026-03-13T05:56:23Z
2025-07-15,0.83,1.10,0.57,ok,2026-03-13T05:56:23Z
2025-07-16,0.86,1.05,0.53,ok,2026-03-13T05:56:23Z
2025-07-17,0.80,1.03,0.65,ok,2026-03-13T05:56:23Z
2025-07-18,0.74,1.02,0.48,ok,2026-03-13T05:56:23Z
2025-07-21,0.88,1.04,0.51,ok,2026-03-13T05:56:23Z
2025-07-22,0.87,1.18,0.55,ok,2026-03-13T05:56:23Z
2025-07-23,0.81,1.01,0.55,ok,2026-03-13T05:56:23Z
2025-07-24,0.90,1.15,0.57,ok,2026-03-13T05:56:23Z
2025-07-25,0.91,1.16,0.72,ok,2026-03-13T05:56:23Z
2025-07-28,0.85,1.13,0.58,ok,2026-03-13T05:56:23Z
2025-07-29,0.94,1.26,0.57,ok,2026-03-13T05:56:23Z
2025-07-30,0.90,1.14,0.59,ok,2026-03-13T05:56:23Z
2025-07-31,1.03,1.08,0.84,ok,2026-03-13T05:56:23Z
2025-08-01,0.94,1.00,0.75,ok,2026-03-13T05:56:23Z
2025-08-04,0.90,1.06,0.61,ok,2026-03-13T05:56:23Z
2025-08-05,0.87,1.24,0.58,ok,2026-03-13T05:56:23Z
2025-08-06,0.86,1.04,0.62,ok,2026-03-13T05:56:23Z
2025-08-07,0.79,0.97,0.57,ok,2026-03-13T05:56:23Z
2025-08-08,0.86,1.03,0.64,ok,2026-03-13T05:56:23Z
2025-08-11,0.83,0.98,0.64,ok,2026-03-13T05:56:23Z
2025-08-12,0.95,1.04,0.60,ok,2026-03-13T05:56:23Z
2025-08-13,0.77,0.91,0.63,ok,2026-03-13T05:56:23Z
2025-08-14,0.85,1.03,0.75,ok,2026-03-13T05:56:23Z
2025-08-15,0.79,1.05,0.48,ok,2026-03-13T05:56:23Z
2025-08-18,0.79,1.04,0.50,ok,2026-03-13T05:56:23Z
2025-08-19,0.91,1.19,0.59,ok,2026-03-13T05:56:23Z
2025-08-20,0.88,0.98,0.66,ok,2026-03-13T05:56:23Z
2025-08-21,0.92,1.13,0.62,ok,2026-03-13T05:56:23Z
2025-08-22,0.88,0.99,0.50,ok,2026-03-13T05:56:23Z
2025-08-25,0.86,1.16,0.55,ok,2026-03-13T05:56:23Z
2025-08-26,0.89,1.20,0.55,ok,2026-03-13T05:56:23Z
2025-08-27,0.75,0.85,0.53,ok,2026-03-13T05:56:23Z
2025-08-28,0.89,1.05,0.75,ok,2026-03-13T05:56:23Z
2025-08-29,0.83,0.92,0.56,ok,2026-03-13T05:56:23Z
2025-09-02,0.93,1.04,0.68,ok,2026-03-13T05:56:23Z
2025-09-03,0.87,1.03,0.61,ok,2026-03-13T05:56:23Z
2025-09-04,0.96,1.23,0.62,ok,2026-03-13T05:56:23Z
2025-09-05,0.75,0.80,0.58,ok,2026-03-13T05:56:23Z
2025-09-08,0.80,1.01,0.63,ok,2026-03-13T05:56:23Z
2025-09-09,0.87,1.12,0.54,ok,2026-03-13T05:56:23Z
2025-09-10,0.82,0.99,0.54,ok,2026-03-13T05:56:23Z
2025-09-11,0.86,1.02,0.68,ok,2026-03-13T05:56:23Z
2025-09-12,0.83,1.13,0.58,ok,2026-03-13T05:56:23Z
2025-09-15,0.89,1.27,0.54,ok,2026-03-13T05:56:23Z
2025-09-16,0.78,0.93,0.54,ok,2026-03-13T05:56:23Z
2025-09-17,1.06,1.11,0.60,ok,2026-03-13T05:56:23Z
2025-09-18,0.75,1.05,0.54,ok,2026-03-13T05:56:23Z
2025-09-19,0.77,1.20,0.45,ok,2026-03-13T05:56:23Z
2025-09-22,0.81,1.02,0.48,ok,2026-03-13T05:56:23Z
2025-09-23,0.90,1.21,0.47,ok,2026-03-13T05:56:23Z
2025-09-24,0.86,1.16,0.51,ok,2026-03-13T05:56:23Z
2025-09-25,0.90,1.19,0.56,ok,2026-03-13T05:56:23Z
2025-09-26,0.82,1.12,0.51,ok,2026-03-13T05:56:23Z
2025-09-29,0.78,0.92,0.52,ok,2026-03-13T05:56:23Z
2025-09-30,0.89,1.14,0.58,ok,2026-03-13T05:56:23Z
2025-10-01,0.77,1.04,0.48,ok,2026-03-13T05:56:23Z
2025-10-02,0.81,1.11,0.47,ok,2026-03-13T05:56:23Z
2025-10-03,0.84,1.10,0.60,ok,2026-03-13T05:56:23Z
2025-10-06,0.73,1.03,0.45,ok,2026-03-13T05:56:23Z
2025-10-07,0.91,1.10,0.50,ok,2026-03-13T05:56:23Z
2025-10-08,0.76,1.00,0.50,ok,2026-03-13T05:56:23Z
2025-10-09,0.80,1.05,0.54,ok,2026-03-13T05:56:23Z
2025-10-10,0.98,1.19,0.69,ok,2026-03-13T05:56:23Z
2025-10-13,0.81,0.98,0.55,ok,2026-03-13T05:56:23Z
2025-10-14,0.87,1.14,0.49,ok,2026-03-13T05:56:23Z
2025-10-15,0.78,1.00,0.48,ok,2026-03-13T05:56:23Z
2025-10-16,0.86,1.18,0.56,ok,2026-03-13T05:56:23Z
2025-10-17,0.93,1.07,0.72,ok,2026-03-13T05:56:23Z
2025-10-20,0.86,1.14,0.50,ok,2026-03-13T05:56:23Z
2025-10-21,0.88,1.24,0.48,ok,2026-03-13T05:56:23Z
2025-10-22,0.83,1.07,0.53,ok,2026-03-13T05:56:23Z
2025-10-23,0.85,1.12,0.60,ok,2026-03-13T05:56:23Z
2025-10-24,0.86,1.07,0.52,ok,2026-03-13T05:56:23Z
2025-10-27,0.79,0.99,0.46,ok,2026-03-13T05:56:23Z
2025-10-28,0.74,0.92,0.47,ok,2026-03-13T05:56:23Z
2025-10-29,0.78,1.05,0.44,ok,2026-03-13T05:56:23Z
2025-10-30,0.81,1.14,0.57,ok,2026-03-13T05:56:23Z
2025-10-31,0.86,1.02,0.55,ok,2026-03-13T05:56:23Z
2025-11-03,0.93,1.09,0.58,ok,2026-03-13T05:56:23Z
2025-11-04,0.85,0.99,0.66,ok,2026-03-13T05:56:23Z
2025-11-05,0.85,1.05,0.57,ok,2026-03-13T05:56:23Z
2025-11-06,0.88,1.14,0.56,ok,2026-03-13T05:56:23Z
2025-11-07,1.08,1.19,0.63,ok,2026-03-13T05:56:23Z
2025-11-10,0.83,1.08,0.49,ok,2026-03-13T05:56:23Z
2025-11-11,0.85,0.94,0.70,ok,2026-03-13T05:56:23Z
