date,total_put_call_ratio,index_put_call_ratio,equity_put_call_ratio,status,fetched_at_utc
2025-11-12,0.78,0.95,0.56,ok,2026-03-13T05:56:23Z
2025-11-13,0.83,1.00,0.65,ok,2026-03-13T05:56:23Z
2025-11-14,1.04,1.14,0.63,ok,2026-03-13T05:56:23Z
2025-11-17,0.97,1.04,0.76,ok,2026-03-13T05:56:23Z
2025-11-18,0.91,0.94,0.70,ok,2026-03-13T05:56:23Z
2025-11-19,0.98,1.12,0.63,ok,2026-03-13T05:56:23Z
2025-11-20,0.95,1.10,0.59,ok,2026-03-13T05:56:23Z
2025-11-21,0.87,1.03,0.56,ok,2026-03-13T05:56:23Z
2025-11-24,0.91,1.13,0.58,ok,2026-03-13T05:56:23Z
2025-11-25,0.94,1.06,0.76,ok,2026-03-13T05:56:23Z
2025-11-26,0.88,0.92,0.69,ok,2026-03-13T05:56:23Z
2025-11-28,0.70,1.06,0.44,ok,2026-03-13T05:56:23Z
2025-12-01,0.95,1.13,0.59,ok,2026-03-13T05:56:23Z
2025-12-02,0.79,0.95,0.54,ok,2026-03-13T05:56:23Z
2025-12-03,0.91,1.18,0.58,ok,2026-03-13T05:56:23Z
2025-12-04,0.78,1.04,0.50,ok,2026-03-13T05:56:23Z
2025-12-05,0.75,1.07,0.43,ok,2026-03-13T05:56:23Z
2025-12-08,0.91,0.99,0.65,ok,2026-03-13T05:56:23Z
2025-12-09,0.82,1.06,0.52,ok,2026-03-13T05:56:23Z
2025-12-10,0.91,1.02,0.59,ok,2026-03-13T05:56:23Z
2025-12-11,0.83,1.06,0.59,ok,2026-03-13T05:56:23Z
2025-12-12,0.91,1.14,0.57,ok,2026-03-13T05:56:23Z
2025-12-15,0.92,1.10,0.58,ok,2026-03-13T05:56:23Z
2025-12-16,0.94,1.01,0.74,ok,2026-03-13T05:56:23Z
2025-12-17,0.99,1.09,0.75,ok,2026-03-13T05:56:23Z
2025-12-18,0.79,0.98,0.59,ok,2026-03-13T05:56:23Z
2025-12-19,0.85,1.05,0.59,ok,2026-03-13T05:56:23Z
2025-12-22,0.89,1.03,0.61,ok,2026-03-13T05:56:23Z
2025-12-23,0.80,1.01,0.46,ok,2026-03-13T05:56:23Z
2025-12-24,0.91,0.96,0.57,ok,2026-03-13T05:56:23Z
2025-12-26,0.85,1.08,0.64,ok,2026-03-13T05:56:23Z
2025-12-29,0.93,0.96,0.67,ok,2026-03-13T05:56:23Z
2025-12-30,0.83,1.08,0.51,ok,2026-03-13T05:56:23Z
2025-12-31,1.13,1.12,0.92,ok,2026-03-13T05:56:23Z
