date,total_put_call_ratio,index_put_call_ratio,equity_put_call_ratio,status,fetched_at_utc
2024-01-02,0.94,1.07,0.65,ok,2026-03-13T06:03:07Z
2024-01-03,1.05,1.20,0.69,ok,2026-03-13T06:03:07Z
2024-01-04,0.95,1.10,0.69,ok,2026-03-13T06:03:07Z
2024-01-05,1.18,1.30,0.70,ok,2026-03-13T06:03:07Z
2024-01-08,0.84,0.90,0.59,ok,2026-03-13T06:03:07Z
2024-01-09,0.93,1.09,0.61,ok,2026-03-13T06:03:07Z
2024-01-10,1.28,0.98,1.55,ok,2026-03-13T06:03:07Z
2024-01-11,1.04,1.14,0.80,ok,2026-03-13T06:03:07Z
2024-01-12,0.88,0.81,0.83,ok,2026-03-13T06:03:07Z
2024-01-16,1.01,1.05,0.84,ok,2026-03-13T06:03:07Z
2024-01-17,1.01,1.11,0.69,ok,2026-03-13T06:03:07Z
2024-01-18,0.91,1.17,0.69,ok,2026-03-13T06:03:07Z
2024-01-19,0.88,1.14,0.59,ok,2026-03-13T06:03:07Z
2024-01-22,0.82,1.01,0.49,ok,2026-03-13T06:03:07Z
2024-01-23,0.91,0.90,0.57,ok,2026-03-13T06:03:07Z
2024-01-24,0.97,1.22,0.67,ok,2026-03-13T06:03:07Z
2024-01-25,0.94,1.19,0.67,ok,2026-03-13T06:03:07Z
2024-01-26,0.91,1.08,0.66,ok,2026-03-13T06:03:07Z
2024-01-29,0.94,1.23,0.57,ok,2026-03-13T06:03:07Z
2024-01-30,0.91,1.18,0.66,ok,2026-03-13T06:03:07Z
2024-01-31,0.92,1.11,0.64,ok,2026-03-13T06:03:07Z
2024-02-01,1.00,1.17,0.64,ok,2026-03-13T06:03:07Z
2024-02-02,1.04,1.26,0.62,ok,2026-03-13T06:03:07Z
2024-02-05,0.93,1.09,0.65,ok,2026-03-13T06:03:07Z
2024-02-06,0.82,0.88,0.73,ok,2026-03-13T06:03:07Z
2024-02-07,0.98,1.06,0.70,ok,2026-03-13T06:03:07Z
2024-02-08,0.84,1.01,0.62,ok,2026-03-13T06:03:07Z
2024-02-09,0.82,1.07,0.48,ok,2026-03-13T06:03:07Z
2024-02-12,1.00,1.09,0.55,ok,2026-03-13T06:03:07Z
2024-02-13,0.89,0.89,0.65,ok,2026-03-13T06:03:07Z
2024-02-14,0.96,1.13,0.57,ok,2026-03-13T06:03:07Z
2024-02-15,0.85,0.95,0.54,ok,2026-03-13T06:03:07Z
2024-02-16,0.93,1.34,0.53,ok,2026-03-13T06:03:07Z
2024-02-20,0.93,1.15,0.55,ok,2026-03-13T06:03:07Z
2024-02-21,1.09,1.37,0.72,ok,2026-03-13T06:03:07Z
2024-02-22,0.94,1.08,0.66,ok,2026-03-13T06:03:07Z
2024-02-23,0.96,1.25,0.66,ok,2026-03-13T06:03:07Z
2024-02-26,1.00,1.18,0.70,ok,2026-03-13T06:03:07Z
2024-02-27,0.97,1.24,0.61,ok,2026-03-13T06:03:07Z
2024-02-28,0.87,1.20,0.48,ok,2026-03-13T06:03:07Z
2024-02-29,0.93,1.19,0.64,ok,2026-03-13T06:03:07Z
2024-03-01,0.97,1.13,0.60,ok,2026-03-13T06:03:07Z
2024-03-04,0.86,1.14,0.64,ok,2026-03-13T06:03:07Z
2024-03-05,1.04,1.21,0.70,ok,2026-03-13T06:03:07Z
2024-03-06,1.06,1.18,0.83,ok,2026-03-13T06:03:07Z
2024-03-07,0.95,1.22,0.56,ok,2026-03-13T06:03:07Z
2024-03-08,0.92,1.18,0.56,ok,2026-03-13T06:03:07Z
2024-03-11,1.03,1.34,0.68,ok,2026-03-13T06:03:07Z
2024-03-12,1.07,1.19,0.68,ok,2026-03-13T06:03:07Z
2024-03-13,0.87,1.04,0.59,ok,2026-03-13T06:03:07Z
2024-03-14,0.90,1.09,0.63,ok,2026-03-13T06:03:07Z
2024-03-15,0.80,0.87,0.61,ok,2026-03-13T06:03:07Z
2024-03-18,0.86,1.00,0.50,ok,2026-03-13T06:03:07Z
2024-03-19,1.02,1.13,0.66,ok,2026-03-13T06:03:07Z
2024-03-20,0.98,1.07,0.72,ok,2026-03-13T06:03:07Z
2024-03-21,0.99,1.13,0.67,ok,2026-03-13T06:03:07Z
2024-03-22,1.29,1.38,0.65,ok,2026-03-13T06:03:07Z
2024-03-25,1.02,1.28,0.70,ok,2026-03-13T06:03:07Z
2024-03-26,1.00,1.31,0.64,ok,2026-03-13T06:03:07Z
2024-03-27,1.02,1.29,0.67,ok,2026-03-13T06:03:07Z
2024-03-28,1.19,1.13,0.56,ok,2026-03-13T06:03:07Z
2024-04-01,0.94,1.15,0.65,ok,2026-03-13T06:03:07Z
2024-04-02,0.95,1.19,0.66,ok,2026-03-13T06:03:07Z
2024-04-03,1.06,1.35,0.69,ok,2026-03-13T06:03:07Z
